author,n,m,C,i,Best_ILS,Avg_ILS,T_ILS,Best_DQGA,Avg_DQGA,T_DQGA,Best_HGS,Avg_HGS,T_HGS
cat,10,10,4,10,8.5,8.5,0.09,8.5,8.5,0.19,8.5,8.5,0.07
cat,10,10,5,10,5.8,5.8,0.09,5.8,5.8,0.19,5.8,5.8,0.06
cat,10,10,6,10,4.1,4.1,0.05,4.1,4.1,0.22,4.1,4.1,0.06
cat,10,10,7,10,3.0,3.0,0.04,3.0,3.0,0.25,3.0,3.0,0.05
cat,15,20,6,10,20.5,20.5,1.06,20.5,20.72,1.85,20.5,20.5,0.88
cat,15,20,8,10,13.7,13.7,1.34,13.7,13.74,2.42,13.7,13.7,0.79
cat,15,20,10,10,9.7,9.7,1.09,9.7,9.76,1.58,9.7,9.7,0.69
cat,15,20,12,10,7.2,7.2,0.69,7.2,7.2,0.9,7.2,7.2,0.6
cat,30,40,15,10,83.9,84.09,96.49,83.8,84.82,165.49,83.5,83.5,74.71
cat,30,40,17,10,65.5,65.82,132.97,65.5,66.74,223.35,65.4,65.43,71.77
cat,30,40,20,10,46.6,46.78,167.41,46.6,47.82,250.95,46.6,46.66,60.58
cat,30,40,25,10,26.3,26.47,133.27,26.2,27.1,165.03,26.2,26.32,48.01
cat,40,60,20,10,178.0,178.36,474.0,178.0,180.16,243.1,176.5,176.71,501.21
cat,40,60,22,10,151.6,152.05,684.95,151.5,153.68,552.95,150.3,150.45,437.85
cat,40,60,25,10,121.2,121.68,1037.2,121.2,123.68,853.43,120.3,120.61,466.12
cat,40,60,30,10,85.2,85.42,1473.24,85.2,87.22,1296.5,84.3,84.66,484.14
cram,10,10,4,10,9.1,9.1,0.08,9.1,9.1,0.23,9.10,9.1,0.08
cram,10,10,5,10,6.2,6.2,0.08,6.2,6.2,0.26,6.20,6.2,0.07
cram,10,10,6,10,4.3,4.3,0.06,4.3,4.3,0.29,4 .30,4.3,0.06
cram,10,10,7,10,3.1,3.1,0.04,3.1,3.1,0.25,3.10,3.1,0.06
cram,15,20,6,10,20.6,20.63,0.82,20.6,20.7,2.27,20.60,20.6,0.93
cram,15,20,8,10,13.7,13.7,1.06,13.7,13.7,1.55,13.70,13.7,0.82
cram,15,20,10,10,10.1,10.1,0.84,10.1,10.1,1.07,10.10,10.1,0.73
cram,15,20,12,10,7.6,7.6,0.58,7.6,7.6,0.64,7.60,7.6,0.64
cram,30,40,15,10,91.4,91.7,84.21,91.3,91.88,184.54,91.10,91.1,75.85
cram,30,40,17,10,71.3,71.59,128.05,71.2,72.08,254.18,71.20,71.2,66.94
cram,30,40,20,10,50.4,50.71,168.27,50.4,51.36,224.38,50.20,50.37,64.4
cram,30,40,25,10,27.9,28.14,142.41,27.7,28.64,189.77,27.80,28.02,62.61
cram,40,60,20,10,178.4,179.0,428.41,178.4,180.92,599.65,177.20,177.41,512.09
cram,40,60,22,10,151.5,152.04,645.19,151.3,154.0,792.2,150.50,150.67,490.88
cram,40,60,25,10,121.0,121.52,985.88,120.9,123.9,979.43,120.20,120.44,478.33
cram,40,60,30,10,83.9,84.18,1440.42,83.9,86.3,1388.76,83.20,83.44,408.9
mec,50,75,25,5,,,,,,,268.4,268.8,2349.09
mec,50,75,30,5,,,,,,,196.6,197.22,2064.81
mec,50,75,35,5,,,,,,,147.0,148.14,1848.54
mec,50,75,40,5,,,,,,,109.8,110.62,1607.07
mec,60,90,35,5,,,,,,,414.8,415.54,7607.1
mec,60,90,40,5,,,,,,,320.2,321.08,7108.39
mec,60,90,45,5,,,,,,,247.0,248.34,5253.31
mec,60,90,50,5,,,,,,,191.2,192.86,5595.93
mec,70,105,40,5,,,,,,,576.8,577.82,16353.88
mec,70,105,45,5,,,,,,,459.0,460.18,14264.06
mec,70,105,50,5,,,,,,,369.2,371.0,12360.99
mec,70,105,55,5,,,,,,,298.2,299.8,11756.43
yan,8,15,5,10,12.0,12.0,2.62,12.0,12.0,0.04,12.0,12.0,0.04
yan,8,15,10,30,6.83,6.83,2.91,6.83,6.83,0.07,6.83,6.83,0.04
yan,8,20,5,10,16.8,16.8,3.26,16.8,16.8,0.06,16.8,16.8,0.06
yan,8,20,10,30,13.07,13.07,3.89,13.07,13.07,0.13,13.07,13.07,0.06
yan,8,20,15,60,7.08,7.08,3.92,7.08,7.08,0.1,7.08,7.08,0.05
yan,8,25,5,10,20.1,20.1,4.99,20.1,20.1,0.03,20.1,20.1,0.07
yan,8,25,10,30,18.2,18.2,4.8,18.2,18.2,0.12,18.2,18.2,0.08
yan,8,25,15,60,12.95,12.95,5.06,12.95,12.95,0.14,12.95,12.95,0.08
yan,8,25,20,100,6.61,6.61,5.18,6.61,6.61,0.11,6.61,6.61,0.06
yan,9,15,5,10,12.2,12.2,2.99,12.2,12.2,0.07,12.2,12.2,0.07
yan,9,15,10,30,7.37,7.37,3.46,7.37,7.37,0.11,7.37,7.37,0.07
yan,9,20,5,10,17.4,17.4,3.44,17.4,17.4,0.08,17.4,17.4,0.09
yan,9,20,10,30,14.17,14.17,4.3,14.17,14.17,0.18,14.17,14.17,0.1
yan,9,20,15,60,7.6,7.6,4.38,7.6,7.6,0.18,7.6,7.6,0.08
yan,9,25,5,10,20.4,20.4,4.48,20.4,20.4,0.05,20.4,20.4,0.11
yan,9,25,10,30,18.77,18.77,5.58,18.77,18.77,0.2,18.77,18.77,0.13
yan,9,25,15,50,14.74,14.75,5.6,14.74,14.74,0.32,14.74,14.74,0.13
yan,9,25,20,100,7.19,7.19,5.78,7.19,7.19,0.19,7.19,7.19,0.1
yan,15,15,5,10,16.6,16.69,5.83,16.6,16.6,0.51,16.6,16.6,0.71
yan,15,15,10,30,9.8,9.88,7.8,9.8,9.8,0.86,9.8,9.8,0.57
yan,15,20,5,10,20.6,20.77,7.97,20.6,20.6,0.65,20.6,20.6,0.83
yan,15,20,10,30,18.33,18.52,9.81,18.33,18.33,1.54,18.33,18.33,0.96
yan,15,20,15,60,10.52,10.65,10.55,10.52,10.52,1.66,10.52,10.52,0.76
yan,15,25,5,10,27.5,27.7,10.21,27.5,27.5,0.63,27.5,27.51,1.02
yan,15,25,10,30,25.07,25.3,14.85,25.07,25.07,1.86,25.07,25.07,1.28
yan,15,25,15,60,19.07,19.27,14.97,19.07,19.07,2.93,19.07,19.07,1.18
yan,15,25,20,100,9.66,9.79,15.17,9.66,9.66,2.0,9.66,9.66,0.9
yan,20,15,5,10,21.1,21.58,11.84,20.9,20.9,1.35,20.9,20.9,2.59
yan,20,15,10,20,8.2,8.44,13.55,8.2,8.21,2.13,8.2,8.2,1.83
yan,20,20,5,10,24.3,24.93,16.29,24.2,24.24,1.8,24.2,24.2,3.23
yan,20,20,10,10,10.6,10.76,17.66,10.6,10.6,2.79,10.6,10.6,2.52
yan,20,20,15,30,6.67,6.79,27.08,6.67,6.67,3.22,6.67,6.67,2.27
yan,20,25,5,10,30.1,30.74,21.04,30.1,30.1,2.04,30.1,30.11,3.99
yan,20,25,10,10,15.4,15.47,23.6,15.4,15.4,3.62,15.4,15.4,3.37
yan,20,25,15,40,21.25,21.75,30.87,21.25,21.26,7.19,21.25,21.25,3.88
yan,20,25,20,40,6.15,6.28,39.01,6.15,6.15,3.35,6.15,6.15,2.69
yan,25,15,10,10,5.9,6.0,23.12,5.9,5.9,3.85,5.9,5.9,3.78
yan,25,20,10,10,11.6,12.05,30.17,11.6,11.61,9.44,11.6,11.6,6.58
yan,25,20,15,10,7.6,7.82,28.18,7.6,7.6,9.63,7.6,7.6,6.74
yan,25,25,10,10,16.6,17.06,40.49,16.6,16.67,11.33,16.6,16.67,8.6
yan,25,25,15,10,10.0,10.0,60.06,10.0,10.0,7.6,10.0,10.0,6.21
yan,25,25,20,30,5.5,5.59,72.58,5.5,5.5,6.68,5.5,5.5,5.97
yan,10,10,4,10,9.5,9.5,1.7,9.5,9.5,0.08,9.5,9.5,0.07
yan,10,10,5,10,6.2,6.21,2.15,6.2,6.2,0.08,6.2,6.2,0.06
yan,10,10,6,10,4.3,4.3,3.16,4.3,4.3,0.05,4.3,4.3,0.06
yan,10,10,7,10,3.0,3.0,3.79,3.0,3.0,0.03,3.0,3.0,0.06
yan,15,20,6,10,21.4,21.71,7.79,21.4,21.4,0.75,21.4,21.4,0.92
yan,15,20,8,10,14.2,14.33,8.43,14.2,14.2,0.87,14.2,14.21,0.84
yan,15,20,10,10,10.3,10.34,13.96,10.3,10.3,0.67,10.3,10.3,0.72
yan,15,20,12,10,8.2,8.2,16.44,8.2,8.2,0.6,8.2,8.2,0.69